case,phase,values,mt
Food Intake Satisfaction,B,3,49
Food Intake Satisfaction,B,4,50
Food Intake Satisfaction,B,4,51
Food Intake Satisfaction,B,4,52
Food Intake Satisfaction,B,5,53
Food Intake Satisfaction,B,4,54
Food Intake Satisfaction,B,3,55
Food Intake Satisfaction,B,4,56
Food Intake Satisfaction,B,4,57
Food Intake Satisfaction,B,4,58
Food Intake Satisfaction,B,4,59
Food Intake Satisfaction,B,4,60
Food Intake Satisfaction,B,4,61
Food Intake Satisfaction,B,5,62
Food Intake Satisfaction,B,4,63
